num_hilos tiempo_ms
2 91.982031
3 79.746853
4 58.301199
5 51.086287
6 47.707940
7 35.243793
8 40.143734
9 40.630665
10 37.636371
11 30.571817
12 37.472251
13 31.962996
14 29.798065
15 37.566342
16 37.810903
17 39.313786
18 50.077677
19 46.368624
20 44.239351
21 43.574966
22 43.316349
23 42.909368
24 44.084781
25 47.308091
26 41.309995
27 47.471475
28 40.067306
29 42.215411
30 65.883898
31 77.233598
32 48.675525
33 42.570299
34 48.262078
35 48.891118
36 45.867941
37 46.688849
38 54.624969
39 53.796900
40 57.067466
41 57.967865
42 50.887193
43 50.859832
44 58.287217
45 58.918792
46 55.468129
47 56.269670
48 58.082223
49 57.767317
50 56.473505
51 58.766030
52 62.049621
53 58.333964
54 55.584573
55 59.368046
56 58.470774
57 57.584375
58 64.081066
59 67.253995
60 64.959896
61 72.499934
62 70.827495
63 70.931398
64 68.114974
65 65.987534
66 69.654460
67 71.229023
68 76.753359
69 73.827712
70 74.291173
71 74.166092
72 73.519917
73 73.370230
74 76.469179
75 75.067574
76 74.877412
77 77.585590
78 78.039310
79 85.325240
80 80.643975
81 81.585937
82 81.953078
83 82.405333
84 82.915999
85 80.506058
86 84.763926
87 84.715271
88 87.357888
89 85.261691
90 89.881101
91 98.231819
92 87.220145
93 88.930205
94 92.560999
95 88.494864
96 91.654270
97 93.250660
98 91.675695
99 88.379829
100 93.536213
